,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Ν,"('Ν', 0.9810716905554502, 0.6846794734062915)","('Χ', 0.9735510431858764, 0.5098057490842096)","('Κ', 0.9660698405147661, 0.5015791994656058)","('A', 0.939879948551537, 0.47391003094161266)","('Λ', 0.9306573584565242, 0.4730354560875001)","('Π', 0.9924113410252297, 0.4709635700032899)","('Η', 0.9851116688648958, 0.46989708998385704)","('Θ', 0.98050152510875, 0.4458612524158925)","('Ο', 0.9660289641969494, 0.4407301227939654)","('Υ', 0.9219058752119477, 0.39380711615032915)","('Ω', 0.9711293959614472, 0.37814266507382144)","('Μ', 0.9682183133419494, 0.32796108599839735)","('Ψ', 0.9865666526008163, 0.2760919754018665)","('Ζ', 0.9249910371622408, 0.27470273487856656)","('Δ', 0.9256475963452154, 0.26933102367990225)","('Ε', 0.9335992526378797, 0.22075954544791587)","('Φ', 0.9505473282355417, 0.13465823705102042)","('Ρ', 0.9750292647054424, 0.1237326656544121)","('Β', 0.9251752408166962, 0.10129093758427843)","('Ξ', 0.9138112867568445, 0.0)","('Σ', 0.8467791420427963)","('ΔΤ', 0.8082014210138306)","('ΡΔ', 0.8048303369283087)","('Τ', 0.7992743734682164)","('ΔΨ', 0.7789819536587583)","('ΔΥ', 0.7703075256388648)","('Γ', 0.7516102295512135)","('Ι', 0.7439338688555043)","('ΡA', 0.7213043387882871)","('ΡΛ', 0.6822993920794886)","('AΤ', 0.6792422417479214)","('AΨ', 0.6644497962886395)","('ΨΔ', 0.6613907707674092)","('ΛΨ', 0.6511885660828465)","('ΤΔ', 0.6414267239234346)","('ΛΤ', 0.6411761813355901)","('AΥ', 0.6356218751329613)","('ΛΥ', 0.6028089614974093)","('ΨA', 0.5537625274629012)","('´', 0.5340834438922886)","('ΤA', 0.513052390146747)","('ΨΛ', 0.5058429163305782)","('ΥΔ', 0.459285613537742)","('ΤΛ', 0.4141369545064717)","('ΓΔ', 0.35871487188971507)","('ΥA', 0.297407301539104)","('ΥΛ', 0.17858722157075735)","('ΓA', 0.1683100818570712)","('ΓΛ', 0.0)"
Ξ,"('Ξ', 0.9956119036347866, 0.7519812397028574)","('Ζ', 0.9951288039783011, 0.5988408833325809)","('Σ', 0.9842159978974394, 0.5723851320982494)","('Ε', 0.9873158706655984, 0.47215070915939783)","('Δ', 0.9518097546449926, 0.46272622176431066)","('Χ', 0.9812410679434067, 0.43420656441323435)","('Τ', 0.9377431977760183, 0.40267547390403136)","('Γ', 0.9067521909423196, 0.3839683418474398)","('Ω', 0.9308691580811378, 0.3832892267705057)","('Θ', 0.9010886845281297, 0.36580160177417753)","('Λ', 0.9341826231029097, 0.3512526730284543)","('Ρ', 0.9552456271171385, 0.3433348998258644)","('A', 0.9329888437136857, 0.34295296856283075)","('Υ', 0.9652671210529968, 0.3417809096827039)","('Κ', 0.9618071574218702, 0.31513022828645376)","('Β', 0.9225121310163052, 0.3094527967135683)","('Ψ', 0.9075315420756807, 0.24316259008181496)","('Ν', 0.919378236626731, 0.24206648900094474)","('Η', 0.9277302809151495, 0.15333846473452017)","('Π', 0.942484204356491, 0.1423463637142811)","('Ι', 0.9491132063329906, 0.0)","('Φ', 0.8971684415453683)","('Ο', 0.8952926349869529)","('Μ', 0.8784406631998739)","('ΔΤ', 0.7131282818140114)","('ΡΔ', 0.685522000386109)","('ΔΥ', 0.6640363828954896)","('ΔΨ', 0.647355583462657)","('ΡA', 0.5996470555807893)","('AΤ', 0.584019440239422)","('ΡΛ', 0.5644441967888292)","('ΤΔ', 0.558738975122876)","('ΛΤ', 0.5537669859565528)","('ΨΔ', 0.5372759049683375)","('AΨ', 0.535108092265822)","('AΥ', 0.5323510890467631)","('ΛΨ', 0.5231018020070834)","('ΛΥ', 0.5053215694562365)","('´', 0.4906341488609519)","('ΤA', 0.4346847824845542)","('ΨA', 0.43437979701214124)","('ΨΛ', 0.3918495561916987)","('ΥΔ', 0.3831859982939405)","('ΤΛ', 0.3522435128605923)","('ΓΔ', 0.31094499535596754)","('ΥA', 0.23458380746210006)","('ΓA', 0.13800726055299295)","('ΥΛ', 0.13547072419169748)","('ΓΛ', 0.0)"
´,"('´', 0.9931586360167856, 0.0)","('Ψ', 0.7657495810625391)","('Ρ', 0.7591356043774009)","('Υ', 0.7356747643347092)","('Ν', 0.711594960238896)","('Ε', 0.700382791991289)","('Κ', 0.7003070188539711)","('Γ', 0.6928199562615618)","('Χ', 0.6863003276557672)","('Π', 0.6749572017813934)","('Φ', 0.6702506074160415)","('Θ', 0.6628277901751785)","('Η', 0.6621236747547415)","('Τ', 0.6587676693395597)","('Μ', 0.6342008107525559)","('Ο', 0.6288494787306775)","('Ζ', 0.628791959060919)","('Β', 0.6186380432721994)","('A', 0.6042485613693849)","('Ω', 0.5992033405387621)","('Σ', 0.598796027434128)","('Ξ', 0.5968122233117021)","('Λ', 0.5895977102779781)","('Δ', 0.5625755376650492)","('Ι', 0.5564755152765901)","('ΡΔ', 0.5170121918527304)","('ΔΤ', 0.5094369890132345)","('ΔΨ', 0.4980961513648706)","('ΔΥ', 0.4941359953354144)","('ΡA', 0.48007724145148933)","('ΡΛ', 0.46730011494228463)","('ΨΔ', 0.4237670840596788)","('AΤ', 0.41917145090808017)","('AΨ', 0.4161463238215658)","('ΛΨ', 0.4123615757471746)","('AΥ', 0.39938546272616815)","('ΛΤ', 0.39527303189824814)","('ΛΥ', 0.37912851923325197)","('ΨA', 0.37056341247703195)","('ΤΔ', 0.3666722143539811)","('ΨΛ', 0.3543800995409855)","('ΤA', 0.30403111513952386)","('ΤΛ', 0.252428123028944)","('ΥΔ', 0.246899002572476)","('ΓΔ', 0.18719996539162598)","('ΥA', 0.16456650822009278)","('ΥΛ', 0.10280270906822875)","('ΓA', 0.09041138704704843)","('ΓΛ', 0.0)"
Ε,"('Ε', 0.9983495612405201, 0.7068922928550894)","('Ζ', 0.987886618267028, 0.5864973940258098)","('Γ', 0.9260219270669723, 0.5783825490556319)","('Ρ', 0.9632313502548265, 0.50051509783969)","('Δ', 0.9433346832359296, 0.49212082351377495)","('Σ', 0.9811458717975636, 0.4580666099393017)","('Ξ', 0.9861461269587473, 0.40316890838794306)","('Β', 0.9132099415484769, 0.4023798291002615)","('Κ', 0.9764731289378475, 0.3867847751440213)","('Η', 0.926940509615023, 0.3374437773880815)","('Π', 0.9412200630286701, 0.3260352678425137)","('Χ', 0.9815834797439493, 0.3236268647335292)","('Τ', 0.9332717703780057, 0.3216425594130198)","('Θ', 0.9029115446502658, 0.320825716705345)","('Ω', 0.9266900695406461, 0.2798480061840837)","('Ν', 0.9258078657520669, 0.272873226607368)","('Λ', 0.9307676240995258, 0.2658468089040512)","('A', 0.9321738078618039, 0.26175615187500145)","('Υ', 0.97398405385125, 0.24041586625364286)","('Ψ', 0.9137463030287186, 0.13439197682494008)","('Ι', 0.9374675562438088, 0.0)","('Φ', 0.8987152655635509)","('Ο', 0.8951790202104039)","('Μ', 0.8747422221680992)","('ΔΤ', 0.7156942850477667)","('ΡΔ', 0.6909151705171177)","('ΔΥ', 0.6712176820689644)","('ΔΨ', 0.6470318750386655)","('ΡA', 0.6104018822781605)","('AΤ', 0.5845234398866359)","('ΡΛ', 0.5764105004026233)","('´', 0.555337744041494)","('ΤΔ', 0.5520817631377418)","('ΛΤ', 0.551528532181937)","('ΨΔ', 0.5392297614662637)","('AΥ', 0.5370394580123827)","('AΨ', 0.5328192042228252)","('ΛΨ', 0.5189191590529685)","('ΛΥ', 0.5075514532296146)","('ΨA', 0.44101255991729726)","('ΤA', 0.43307501511418045)","('ΨΛ', 0.39970158018527624)","('ΥΔ', 0.3772768730897531)","('ΤΛ', 0.3509361605538662)","('ΓΔ', 0.30635097147563395)","('ΥA', 0.23311300927129464)","('ΓA', 0.13784659662615661)","('ΥΛ', 0.1344613800334643)","('ΓΛ', 0.0)"
Ρ,"('Ρ', 0.9965730103903997, 0.7533252662728305)","('Ε', 0.9795315226100312, 0.6281668518834189)","('Β', 0.9496517260840596, 0.6095488916032215)","('Σ', 0.9288527597848315, 0.5295022102251417)","('Ζ', 0.9608314670062815, 0.47477355102090435)","('Δ', 0.9225569925938669, 0.46803014420697575)","('Ξ', 0.9511824238277934, 0.3834865661114204)","('Θ', 0.9382731388869333, 0.3768520073646525)","('Τ', 0.9002872621456977, 0.3676131270186639)","('Ο', 0.9070567945169097, 0.3669668497492822)","('Κ', 0.97254825637634, 0.3609114413612863)","('Η', 0.9565562571253428, 0.3536945642576398)","('Ω', 0.9338899958830946, 0.3476205514483771)","('Π', 0.9658879726945216, 0.3395015078009812)","('Χ', 0.9755375644210724, 0.3271358192623467)","('Φ', 0.9468128162845134, 0.3193343886796308)","('Ι', 0.9008909969023844, 0.3047223207203509)","('Ψ', 0.9667859993636796, 0.2986924462689269)","('Υ', 0.9598661481782202, 0.282707341840013)","('Λ', 0.906713143459965, 0.27664957085900366)","('Ν', 0.939903983118684, 0.26835827541818524)","('A', 0.9170081555267283, 0.2666032766544698)","('Μ', 0.9147125522933103, 0.0)","('Γ', 0.8735762592012515)","('ΔΤ', 0.7245431622742461)","('ΡΔ', 0.720613073081973)","('ΔΨ', 0.6880358842853225)","('´', 0.6841268910043055)","('ΔΥ', 0.6837547675910556)","('ΡA', 0.6379421730761095)","('ΡΛ', 0.6038932324708227)","('AΤ', 0.595356514361957)","('ΨΔ', 0.5763787840805802)","('AΨ', 0.5737417429030832)","('ΛΨ', 0.5625545005256807)","('ΛΤ', 0.5620356230337378)","('ΤΔ', 0.5611273584629018)","('AΥ', 0.5511168167152674)","('ΛΥ', 0.5219911346871939)","('ΨA', 0.47592180879939394)","('ΤA', 0.44189059045216517)","('ΨΛ', 0.4354793456020226)","('ΥΔ', 0.3896406294590866)","('ΤΛ', 0.35749160277736725)","('ΓΔ', 0.3084057306528777)","('ΥA', 0.24494959370657865)","('ΥΛ', 0.14483749166009197)","('ΓA', 0.1402700067918825)","('ΓΛ', 0.0)"
Ω,"('Ω', 0.9981286099587175, 0.7031924678006294)","('Ο', 0.9621753855232995, 0.6024585960271873)","('Θ', 0.9830374938775557, 0.5323550095710159)","('Χ', 0.9433098502229194, 0.3611821060890572)","('Δ', 0.9415326481577312, 0.2927523530825574)","('Ζ', 0.9058199583223225, 0.2847322824218146)","('Λ', 0.9225231784875649, 0.2744843321672218)","('A', 0.9364365803148098, 0.26139558688574505)","('Ν', 0.9356728572114377, 0.25457306998891327)","('Κ', 0.9606099489296478, 0.22374991259916854)","('Φ', 0.9559822931121491, 0.2003241849418882)","('Η', 0.9895769718362595, 0.18181920289745024)","('Π', 0.9869679611676415, 0.16799802430705313)","('Ψ', 0.9298364331103424, 0.1563433209768309)","('Ξ', 0.9099704355365027, 0.1440358756391431)","('Β', 0.9457277669232976, 0.09280283454562832)","('Ε', 0.9136482432147744, 0.08771927013538727)","('Μ', 0.9708949844993713, 0.03574108518013153)","('Ρ', 0.9369688127048448, 0.0)","('Υ', 0.8490246449652752)","('Σ', 0.8299754363185912)","('ΡΔ', 0.8157884462147698)","('ΔΤ', 0.8060876831718697)","('ΔΨ', 0.7770589524596979)","('ΔΥ', 0.7707128366622108)","('Ι', 0.7332754398438266)","('ΡA', 0.7265125693451535)","('Τ', 0.7113419049300702)","('ΡΛ', 0.6814899234878096)","('AΤ', 0.674635905227192)","('Γ', 0.6684489601005627)","('ΨΔ', 0.6627816081951752)","('AΨ', 0.6604203811901048)","('ΤΔ', 0.6450123638262608)","('ΛΨ', 0.6402571309435001)","('AΥ', 0.6340643494407151)","('ΛΤ', 0.6303601009314473)","('ΛΥ', 0.5954871630443743)","('ΨA', 0.551262575819009)","('ΤA', 0.5119663755757551)","('ΨΛ', 0.49683834918603376)","('ΥΔ', 0.46950060452230247)","('ΤΛ', 0.4072215870553686)","('ΓΔ', 0.37126295597824865)","('ΥA', 0.30286615595349364)","('´', 0.26904134724710815)","('ΥΛ', 0.1782696219140555)","('ΓA', 0.1747227753360976)","('ΓΛ', 0.0)"
Τ,"('Υ', 0.9870071365343076, 0.46756494322184394)","('Τ', 0.9515083731840887, 0.4353106541875824)","('Ν', 0.9420102773856078, 0.37031290371433745)","('Χ', 0.9658395701069714, 0.34599242802029717)","('Ψ', 0.9353577430652112, 0.31560839917502503)","('Γ', 0.9266206098308712, 0.3042121931942988)","('Ε', 0.9544515305701732, 0.28888628941813477)","('Κ', 0.9249340454204945, 0.2059690105229136)","('Ρ', 0.9521833872321678, 0.14373705944156634)","('Ζ', 0.9542393703455724, 0.1385235728147053)","('Π', 0.9169178641558303, 0.018666360951538397)","('Σ', 0.9298539050485481, 0.013051939280972147)","('Ξ', 0.9402076404964189, 0.0)","('Λ', 0.8939916967647993)","('Η', 0.8912177136858705)","('A', 0.8872807039002119)","('Ο', 0.8799959546740568)","('Δ', 0.8760037059799087)","('Θ', 0.8721890730792649)","('Ω', 0.8711083164176734)","('Ι', 0.8612687840326827)","('Μ', 0.8509159174186203)","('Φ', 0.8500338727652551)","('Β', 0.8470893649430845)","('´', 0.7222590062902969)","('ΔΤ', 0.7121669222988487)","('ΡΔ', 0.6761362715928999)","('ΔΥ', 0.6641941411007033)","('ΔΨ', 0.650160502623625)","('ΡA', 0.6012808140215242)","('AΤ', 0.5891649897760524)","('ΡΛ', 0.5745687599060636)","('ΛΤ', 0.5649776534006825)","('ΤΔ', 0.5532101384786208)","('AΨ', 0.5423228923556552)","('ΨΔ', 0.5422941476862019)","('ΛΨ', 0.5373255114877898)","('AΥ', 0.5372477585005031)","('ΛΥ', 0.5160448681720105)","('ΨA', 0.44671377324241257)","('ΤA', 0.4380608782033979)","('ΨΛ', 0.4125045579510548)","('ΥΔ', 0.3739098245246427)","('ΤΛ', 0.36232699459040296)","('ΓΔ', 0.29954208371912994)","('ΥA', 0.23200899039603295)","('ΥΛ', 0.13850603865925537)","('ΓA', 0.13355719779843644)","('ΓΛ', 0.0)"
Ι,"('Ι', 0.9779817098741834, 0.7774878905430482)","('Γ', 0.9395844510682063, 0.3605385679871884)","('Ε', 0.9119665162885469, 0.3360613387708332)","('Σ', 0.9611120015036311, 0.29930551553041573)","('Τ', 0.9459616672069269, 0.29182733946254746)","('Ζ', 0.9213794563000655, 0.17693448353734187)","('Ξ', 0.9246243781406144, 0.09978461841429065)","('Υ', 0.9007025780693407, 0.0)","('Χ', 0.8712083130431257)","('Κ', 0.8430863247773185)","('Ρ', 0.8406236148249662)","('Δ', 0.8350490702269963)","('Λ', 0.8123223617760331)","('A', 0.8036550255632752)","('Β', 0.7975504245190508)","('Π', 0.7907113892165316)","('Ν', 0.7756882295189637)","('Ω', 0.7727823436910957)","('Η', 0.7691005765609957)","('Ψ', 0.7608575654638144)","('Φ', 0.7472580113745098)","('Ο', 0.7316286528729787)","('Θ', 0.7312531802407869)","('Μ', 0.7015713086327247)","('ΔΤ', 0.5538836137093157)","('´', 0.5257054968342902)","('ΡΔ', 0.5119192475269297)","('ΔΥ', 0.5036996923588157)","('ΔΨ', 0.4716206974408059)","('AΤ', 0.4407276739745625)","('ΡA', 0.43873461943134917)","('ΤΔ', 0.4225158494835868)","('ΛΤ', 0.4213517221766886)","('ΡΛ', 0.4139027378130735)","('AΥ', 0.39026422684758766)","('ΨΔ', 0.3811079392801343)","('AΨ', 0.37454067421403703)","('ΛΥ', 0.3721993488882933)","('ΛΨ', 0.3670516507687528)","('ΤA', 0.32084798308950024)","('ΨA', 0.29745669218192383)","('ΥΔ', 0.2722696936602177)","('ΨΛ', 0.2676490977421503)","('ΤΛ', 0.26355803766122343)","('ΓΔ', 0.23000316958861344)","('ΥA', 0.15551028381948973)","('ΓA', 0.09552640666549117)","('ΥΛ', 0.08610269802933523)","('ΓΛ', 0.0)"
Π,"('Π', 0.9882835621634766, 0.722784293819265)","('Η', 0.9734481630940184, 0.6808673211554068)","('Ν', 0.9788095694747162, 0.5227709126586855)","('Κ', 0.9614756051690648, 0.48000717124478753)","('Ο', 0.9660862193220628, 0.4188562529226211)","('Ε', 0.9496837998607051, 0.40829806741313845)","('Λ', 0.9379751414098506, 0.3965096364225458)","('Χ', 0.9845122351621337, 0.3914491891976656)","('Ω', 0.9719043580454179, 0.3835027004889162)","('A', 0.937395112279491, 0.35688358301566836)","('Θ', 0.9615096141340098, 0.29605525327481663)","('Μ', 0.9485749239253775, 0.2801386459130144)","('Υ', 0.9379736698318384, 0.27806817420480834)","('Δ', 0.9313512903558383, 0.2673983910339849)","('Ζ', 0.9555213049759171, 0.2352959610448082)","('Ρ', 0.9651495203694483, 0.23516614529206226)","('Β', 0.9128489667076339, 0.21393387927064123)","('Ψ', 0.9615519908030657, 0.18786930688142234)","('Ξ', 0.9530676363492072, 0.06123095656987354)","('Φ', 0.9208639048171496, 0.0)","('Σ', 0.8936581624289248)","('Τ', 0.8413106181428536)","('ΔΤ', 0.8045085095430468)","('Γ', 0.7977088748066163)","('ΡΔ', 0.7877408742742317)","('Ι', 0.7872387147528407)","('ΔΥ', 0.7585724513615812)","('ΔΨ', 0.756134958969126)","('ΡA', 0.7008052551576456)","('AΤ', 0.6731174519831746)","('ΡΛ', 0.6638353504674488)","('ΤΔ', 0.641650145802823)","('ΨΔ', 0.6406211960014752)","('AΨ', 0.6399372004490944)","('ΛΤ', 0.6390129547073444)","('ΛΨ', 0.6280147169241902)","('AΥ', 0.6220119798878345)","('ΛΥ', 0.5923481951506524)","('ΨA', 0.5297194401537731)","('ΤA', 0.5088751899040784)","('ΨΛ', 0.4830706833780005)","('ΥΔ', 0.45313628870701006)","('´', 0.4435602947870074)","('ΤΛ', 0.41365327914465244)","('ΓΔ', 0.3616061985464972)","('ΥA', 0.28685508729224085)","('ΥΛ', 0.17045872796455097)","('ΓA', 0.1655425860819042)","('ΓΛ', 0.0)"
Ο,"('Ο', 0.9949725523701054, 0.756414017826131)","('Θ', 0.9539468625464359, 0.6346611259047128)","('Ω', 0.9728659764800525, 0.5843175755225055)","('Ν', 0.9764361696220297, 0.31723863708474975)","('Λ', 0.9095555517987188, 0.2810556410628663)","('A', 0.9018109464627967, 0.2649031087186242)","('Χ', 0.9289071291944062, 0.26168793632019194)","('Ψ', 0.9100748733430065, 0.22683200770757728)","('Η', 0.9515266872373642, 0.18943599029470215)","('Π', 0.9680671285235137, 0.17660846296985822)","('Κ', 0.9056675295205521, 0.15014903075656394)","('Μ', 0.9510341273294667, 0.0)","('Ρ', 0.8777175534151298)","('ΔΤ', 0.8745432094283486)","('Ξ', 0.8738301335125979)","('Δ', 0.8735791114521099)","('Ζ', 0.8673563297978659)","('ΡΔ', 0.8563943627401586)","('Ε', 0.8545989551382851)","('Φ', 0.852441273252631)","('Υ', 0.8380203992674303)","('ΔΥ', 0.8320787540021521)","('ΔΨ', 0.8208823030894703)","('Β', 0.8159776148369227)","('ΡA', 0.7730298138826345)","('Σ', 0.7644735105638009)","('AΤ', 0.7449731465808045)","('ΡΛ', 0.7341819279658581)","('ΤΔ', 0.7116532393046857)","('ΨΔ', 0.7093735469955811)","('ΛΤ', 0.7064342418428777)","('AΨ', 0.7054544616468164)","('AΥ', 0.6946845547356808)","('ΛΨ', 0.6898917573217092)","('Τ', 0.6673078597067017)","('ΛΥ', 0.6614097537863661)","('Γ', 0.6282758083567912)","('ΨA', 0.5944674047936458)","('ΤA', 0.5729003214222984)","('Ι', 0.5519618645550185)","('ΨΛ', 0.5421500507877234)","('ΥΔ', 0.5144582637294285)","('ΤΛ', 0.46627348942900726)","('ΓΔ', 0.4127815825709399)","('ΥA', 0.3320144903895087)","('ΥΛ', 0.1983467854863119)","('ΓA', 0.19338025493969868)","('´', 0.14082867123092635)","('ΓΛ', 0.0)"
ΤA,"('ΤΔ', 0.9143444289666725, 0.8136972072732274)","('ΨΔ', 0.9259932119003291, 0.6386743762613225)","('ΡA', 0.9443533227925209, 0.586985248644434)","('ΔΥ', 0.9706821854041585, 0.585234113631867)","('ΡΛ', 0.9247849044550814, 0.5701700397517206)","('ΡΔ', 0.9759206052412659, 0.5507343154362688)","('ΔΤ', 0.9844724513411613, 0.5032834387819488)","('AΤ', 0.935615138472755, 0.49033917618320366)","('ΛΤ', 0.9140360508389751, 0.48402259334709297)","('ΔΨ', 0.9760932412348777, 0.468436863552567)","('AΥ', 0.9115064805139986, 0.46044530671339345)","('AΨ', 0.9293068064038803, 0.3519880959720182)","('ΛΨ', 0.9224721061732434, 0.34576754719136915)","('Ο', 0.946805414909282, 0.0)","('ΛΥ', 0.8943056895570457)","('Ν', 0.8919728639533809)","('Μ', 0.8858140495581125)","('ΨA', 0.8610175639897372)","('Θ', 0.8539426675002064)","('Ω', 0.8465383672627831)","('ΤA', 0.8354790857447683)","('Π', 0.8289711368946387)","('ΨΛ', 0.8274020169430469)","('Η', 0.8141427919755657)","('ΥΔ', 0.8007240768220026)","('Ψ', 0.7847293812285762)","('ΤΛ', 0.7610101882517136)","('Λ', 0.7539086449054383)","('A', 0.7350038817435705)","('Χ', 0.7212632450735483)","('ΓΔ', 0.7171001443107177)","('Κ', 0.67969260259132)","('ΥA', 0.6780433280026548)","('Φ', 0.671152540961051)","('Δ', 0.6561422841862221)","('Ρ', 0.649909582312799)","('Ξ', 0.6026521374485218)","('Ζ', 0.5958994870307568)","('Υ', 0.5920084307699256)","('ΥΛ', 0.5778027319174571)","('Β', 0.5740247415752251)","('Ε', 0.5626674541305132)","('ΓA', 0.5623699041282947)","('Σ', 0.42326423107234035)","('ΓΛ', 0.4096056794070607)","('Τ', 0.3443397533820811)","('Γ', 0.29276179915575096)","('Ι', 0.08790011170495382)","('´', 0.0)"
