letter,weight,relative_weight,center_x,center_y,relative_center_x,relative_center_y,inertia_x,inertia_y,relative_inertia_x,relative_inertia_y
A,320,0.22759601706970128,21.421875,19.871875,0.5672743055555556,0.5100506756756756,21979.74687500001,31488.046875,0.214645965576172,0.30750045776367185
Β,496,0.45925925925925926,17.739919354838708,15.294354838709678,0.4782834101382488,0.492908787541713,34505.02419354839,58255.449596774146,0.1402552037003625,0.23679536939375548
Γ,259,0.23981481481481481,14.694980694980694,9.822393822393822,0.39128516271373415,0.3042204766342697,12113.830115830113,38920.90347490351,0.18058511524619658,0.5802075621249462
Δ,314,0.28136200716845877,21.515923566878982,16.738853503184714,0.5861692447679709,0.5246284501061571,17652.585987261158,32618.420382165627,0.17903957551281147,0.33082904359371196
Ε,364,0.32616487455197135,17.684065934065934,12.085164835164836,0.47668759811616956,0.3695054945054945,20476.35989010988,52758.667582417555,0.1545432306643965,0.3981906441131623
Ζ,356,0.3090277777777778,17.848314606741575,15.820224719101123,0.48138041733547354,0.47807176513229427,22680.49438202243,56573.808988764176,0.17895857832046483,0.4463909937883804
Η,524,0.3732193732193732,17.498091603053435,18.984732824427482,0.4713740458015267,0.4732824427480916,68789.87786259533,63682.998091603215,0.25053128409837466,0.23193213569868895
Θ,486,0.35526315789473684,18.516460905349795,17.567901234567902,0.4734178623067512,0.47336860670194003,65249.25925925923,47429.36831275718,0.276250483747647,0.20080512926873095
Ι,244,0.4236111111111111,17.5,7.5,0.4714285714285714,0.43333333333333335,1405.0,31613.0,0.0235991668906208,0.5309896533190003
Κ,448,0.3111111111111111,18.982142857142858,15.810267857142858,0.5137755102040816,0.3797504578754579,36578.87276785716,60237.857142857094,0.18225283386408422,0.30013281819424176
Λ,292,0.2134502923976608,20.589041095890412,20.20205479452055,0.5596868884540118,0.5189744539059608,20801.078767123294,29432.684931506905,0.2439608600009769,0.34519474727325605
Μ,591,0.34929078014184395,17.460236886632824,24.629441624365484,0.47029248247522354,0.5136835135731627,106367.84771573608,66660.8155668359,0.30453373563330405,0.19085153663335794
Ν,370,0.24390243902439024,16.32972972972973,19.762162162162163,0.42582582582582584,0.4690540540540541,42767.07027027041,41325.77297297295,0.31239642271928714,0.3018683197441413
Ξ,379,0.3396057347670251,18.277044854881268,14.944591029023746,0.49362985299660767,0.4648197009674582,29651.836411609544,66779.91029023753,0.2064301725246242,0.4649084195336814
Ο,414,0.3026315789473684,18.615942028985508,17.73671497584541,0.47610654132393265,0.478191856452726,63126.3019323672,46197.93478260882,0.36830673955265697,0.269539165339966
Π,509,0.36253561253561256,16.80353634577603,18.93909626719057,0.4515296098793152,0.47208148071554135,67765.11198428288,68838.35363457768,0.2615595585329796,0.26570205315935047
Ρ,379,0.36302681992337166,14.854881266490764,12.868073878627968,0.3958537504711647,0.42385978137957026,22743.403693931457,41189.018469657014,0.1583350414848926,0.28674973349988525
Σ,335,0.32088122605363983,18.277611940298506,12.620895522388059,0.49364605543710016,0.41503198294243066,17588.85373134329,59091.182089552414,0.1567284805644312,0.5265420547075288
Τ,270,0.234375,14.322222222222223,15.822222222222223,0.38063492063492066,0.47813620071684587,10017.466666666667,40800.96666666666,0.137413808870599,0.559684042066758
Υ,300,0.21929824561403508,15.466666666666667,17.153333333333332,0.41333333333333333,0.43657657657657656,15592.946666666678,38988.66666666669,0.17325496296296308,0.4332074074074077
Φ,522,0.4027777777777778,17.53639846743295,17.480842911877396,0.47246852764094144,0.47088122605363986,46244.308429118704,47901.80842911891,0.16971384899340403,0.17579677496336998
Χ,382,0.27923976608187134,17.26439790575916,18.484293193717278,0.4646970830216903,0.47254846469506157,29861.405759162262,53618.295811518394,0.20463669964613265,0.3674398715188618
Ψ,435,0.3020833333333333,14.08735632183908,19.979310344827585,0.37392446633825943,0.4866489832007073,41330.813793103414,42624.68045977005,0.21842152883130356,0.22525924407329923
Ω,490,0.36786786786786785,19.879591836734694,17.56122448979592,0.5244331065759638,0.4731778425655977,70142.66326530608,63439.89591836734,0.2921393722003585,0.2642228068236874
ΓA,579,0.22040350209364293,18.860103626943005,33.61485319516407,0.4961139896373057,0.46592647421662964,299375.11226252175,75103.66839378234,0.8930146141507803,0.2240288878561463
ΓΔ,573,0.24487179487179486,18.43280977312391,32.24432809773124,0.49808027923211173,0.48819262652705064,267379.7940663168,78142.66317626539,0.8143654507104666,0.23800110004375302
ΓΛ,551,0.21557120500782473,17.818511796733212,32.811252268602544,0.48052890847809177,0.4544464609800363,291202.37023593497,73121.85117967291,0.9591614330517191,0.24084851887731895
ΡA,699,0.27379553466509987,18.40343347639485,30.266094420600858,0.4834287076776347,0.4303837414794244,295314.506437769,78054.23175965651,0.6044083136092006,0.15975045437822785
ΡΔ,693,0.3055555555555556,17.873015873015873,29.12121212121212,0.48208616780045355,0.45356793743890517,261357.81818181858,81426.82539682496,0.5442131439770173,0.16955126485807354
ΡΛ,671,0.27012882447665054,17.350223546944857,29.549925484351714,0.46714924419842446,0.41985184535811343,285908.0774962742,76044.69746646786,0.6350111995492952,0.16889776245714597
ΤA,590,0.21843761569788966,18.63050847457627,37.001694915254234,0.4897363465160075,0.5000235404896421,255300.99830508488,77737.45084745767,0.7334128075411803,0.2233193072319956
ΤΔ,584,0.24212271973466004,18.190068493150687,35.67123287671233,0.49114481409001964,0.5253217102532172,225514.8767123288,80931.90239726024,0.6612253609739421,0.2372979874192515
ΤΛ,562,0.21385083713850836,17.57829181494662,36.28291814946619,0.4736654804270463,0.4900405298536971,248368.01601423454,75743.0551601426,0.7863629387109919,0.23981160053742542
ΥA,620,0.21483021483021483,19.024193548387096,39.20161290322581,0.5006720430107526,0.49612484289903647,320133.7983870963,74278.63709677395,0.8328142517874514,0.19323266674498946
ΥΔ,614,0.2368827160493827,18.560260586319217,37.90879478827362,0.5017217310376919,0.5198421801165298,285956.8925081437,77221.27035830662,0.7585143940735277,0.20483312915337726
ΥΛ,592,0.21082621082621084,17.993243243243242,38.38682432432432,0.4855212355212355,0.485543173043173,310616.41722972965,72303.97297297274,0.8863004965694897,0.2063092727725893
ΨA,755,0.25191858525191857,17.772185430463576,38.158940397350996,0.46589403973509935,0.46448675496688746,402510.9271523175,81510.81589403942,0.7061285507693829,0.14299515967552198
ΨΔ,749,0.2774074074074074,17.201602136181574,37.06675567423231,0.4629029181766164,0.48738859019232855,361950.6622162886,85306.55807743674,0.6451871961302896,0.1520613297969821
ΨΛ,727,0.24931412894375857,16.698762035763412,37.33975240715268,0.4485360581646689,0.4542469050894085,388541.08115543344,79443.02888583206,0.7351367307289353,0.15030968761568816
AΤ,590,0.22147147147147148,18.63050847457627,36.32372881355932,0.4897363465160075,0.49751730723322984,221261.16779660998,77737.45084745767,0.6356253024895432,0.2233193072319956
ΔΤ,584,0.24579124579124578,18.190068493150687,32.034246575342465,0.49114481409001964,0.477449947312961,186561.31506849345,80931.90239726024,0.5470107990139257,0.2372979874192515
ΛΤ,562,0.21682098765432098,17.57829181494662,37.31494661921708,0.4736654804270463,0.5114781213974237,208811.2544483983,75743.0551601426,0.6611214854434414,0.23981160053742542
AΥ,620,0.21483021483021483,19.024193548387096,37.91129032258065,0.5006720430107526,0.47936740678676165,252784.12096774203,74278.63709677395,0.6576069744218055,0.19323266674498946
ΔΥ,614,0.2368827160493827,18.560260586319217,33.55374592833876,0.5017217310376919,0.4585034637794192,214949.726384365,77221.27035830662,0.5701644749131688,0.20483312915337726
ΛΥ,592,0.21082621082621084,17.993243243243242,38.92736486486486,0.4855212355212355,0.49256318006318006,238435.8766891891,72303.97297297274,0.6803434209767312,0.2063092727725893
AΨ,755,0.25506756756756754,17.772185430463576,42.980132450331126,0.46589403973509935,0.5313940816497611,359890.70198675484,81510.81589403942,0.6313595052616198,0.14299515967552198
ΔΨ,749,0.28115615615615613,17.201602136181574,38.367156208277706,0.4629029181766164,0.5118788521681877,311894.03204272356,85306.55807743674,0.5559598504151037,0.1520613297969821
ΛΨ,727,0.25243055555555555,16.698762035763412,44.00275103163686,0.4485360581646689,0.5443386206536311,338575.9944979367,79443.02888583206,0.6406005999631745,0.15030968761568816
´,28,0.1111111111111111,2.7142857142857144,2.6785714285714284,0.0489795918367347,0.2797619047619047,84.10714285714288,137.71428571428572,0.10727951895043734,0.17565597667638486
